name,brand,category,color,price,price_old,RAM,ROM,percent,rating,sold
vivo V40 Lite 8GB/256GB,vivo,Điện thoại,Bạc,8490000.0,8490000.0,8GB,256GB,0,4.9,34800
realme Note 50 3GB/64GB,realme,Điện thoại,Đen,2490000.0,2490000.0,3GB,64GB,0,4.9,67000
vivo V30 5G 12GB/512GB,vivo,Điện thoại,Đen,12790000.0,12790000.0,12GB,512GB,0,4.9,5000
vivo V30e 5G 12GB/256GB,vivo,Điện thoại,Nâu,8490000.0,8490000.0,12GB,256GB,0,4.9,4000
OPPO Reno13 F 5G 8GB/256GB,OPPO,Điện thoại,Xanh Dương,9690000.0,9690000.0,8GB,256GB,0,4.9,68600
Xiaomi Redmi Note 14 8GB/128GB,Xiaomi,Điện thoại,Tím,5290000.0,5290000.0,8GB,128GB,0,4.9,81100
Samsung Galaxy A16 5G 8GB/256GB,Samsung,Điện thoại,Vàng,6990000.0,6990000.0,8GB,256GB,0,4.9,70200
Xiaomi Redmi A5 3GB/64GB,Xiaomi,Điện thoại,Xanh Dương,2590000.0,2590000.0,3GB,64GB,0,5,2700
Nokia 105 4G Pro,Nokia,Điện thoại,Đen,680000.0,680000.0,N/A,Pro,0,4.9,279500
Viettel Sumo 4G T2,Viettel,Điện thoại,Đen,550000.0,550000.0,N/A,T2,0,4.9,82100
Masstel IZI 10 4G,Masstel,Điện thoại,Xanh Dương,410000.0,410000.0,N/A,4G,0,4.9,263400
Nokia HMD 105 4G,Nokia,Điện thoại,Hồng,650000.0,650000.0,N/A,4G,0,4.9,32500
Mobell M239 4G,Mobell,Điện thoại,Xanh Dương,460000.0,460000.0,N/A,4G,0,4.9,130199
Samsung Galaxy A06 4GB/64GB,Samsung,Điện thoại,Xanh dương nhạt,3090000.0,3090000.0,4GB,64GB,0,4.9,109700
Nokia 220 4G,Nokia,Điện thoại,Cam,990000.0,990000.0,N/A,4G,0,4.9,40300
Masstel Fami 50 4G,Masstel,Điện thoại,Xanh lá,600000.0,600000.0,N/A,4G,0,4.9,44600
Benco 4G G3,Benco,Điện thoại,Xanh mint,380000.0,380000.0,N/A,G3,0,4.9,54700
Mobell M539 4G,Mobell,Điện thoại,Đỏ,700000.0,700000.0,N/A,4G,0,4.9,38800
Samsung Galaxy A26 5G 6GB/128GB,Samsung,Điện thoại,Đen,6390000.0,6390000.0,6GB,128GB,0,4.9,4000
