name,brand,category,color,price,price_old,RAM,ROM,percent,rating,sold
Asus Vivobook 16 X1605VA i7 13620H (MB1875WS),Asus,Laptop,Bạc,18190000.0,18190000.0,RAM 16 GB,SSD 512 GB,0,5,93
Acer Gaming Aspire 5 A515 58GM 51LB i5 13420H (NX.KQ4SV.002),Acer,Laptop,Xám,17690000.0,17690000.0,RAM 16 GB,SSD 512 GB,0,4.9,6000
Dell Inspiron 15 3520 i7 1255U (N3520-i7U165W11BLU-FP),Dell,Laptop,Đen,19990000.0,19990000.0,RAM 16 GB,SSD 512 GB,0,5,384
Lenovo Ideapad Slim 5 14IAH8 i5 12450H (83BF003WVN),Lenovo,Laptop,Xám,17690000.0,17690000.0,RAM 16 GB,SSD 1 TB,0,4.9,2900
HP Gaming VICTUS 15 fa1139TX i5 12450H (8Y6W3PA),HP,Laptop,Đen,17490000.0,17490000.0,RAM 16 GB,SSD 512 GB,0,4.9,3200
MSI Thin 15 B13UC i7 13620H (1411VN),MSI,Laptop,Xám,21290000.0,21290000.0,RAM 32 GB,SSD 512 GB,0,4.9,328
MacBook Air 13 inch M3 16GB/256GB,MacBook,Laptop,Xanh đen,24190000.0,24190000.0,RAM 16 GB,SSD 256 GB,0,5,942
Asus Vivobook 14 X1404VA i5 1334U (NK771WS),Asus,Laptop,Bạc,15290000.0,15290000.0,RAM 16 GB,SSD 512 GB,0,5,25
HP 240 G9 i5 1235U (AG2J7AT),HP,Laptop,Bạc,15690000.0,15690000.0,RAM 16 GB,SSD 512 GB,0,5,3400
Asus Vivobook 14 X1404VA i5 1335U (NK050W),Asus,Laptop,Bạc,14690000.0,14690000.0,RAM 16 GB,SSD 512 GB,0,4.9,3100
Dell Inspiron 15 3520 i7 1255U (25P2315),Dell,Laptop,Đen,19990000.0,19990000.0,RAM 16 GB,SSD 512 GB,0,5,475
Lenovo IdeaPad Slim 3 15IRH10 i7 13620H (83K1000FVN),Lenovo,Laptop,Xám,20490000.0,20490000.0,RAM 24 GB,SSD 512 GB,0,5,164
Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002),Acer,Laptop,Bạc,11490000.0,11490000.0,RAM 8 GB,SSD 512 GB,0,4.9,4200
MSI Gaming Thin 15 B12UC i5 12450H (2045VN),MSI,Laptop,Xám,18190000.0,18190000.0,RAM 16 GB,SSD 512 GB,0,5,817
Dell Inspiron 15 3530 i7 1355U (P16WD),Dell,Laptop,Bạc,21990000.0,21990000.0,RAM 16 GB,SSD 1 TB,0,4.9,1400
Asus TUF Gaming A15 FA506NFR R7 7435HS (HN113W),Asus,Laptop,Đen,17690000.0,17690000.0,RAM 16 GB,SSD 512 GB,0,4.9,650
Asus Gaming Vivobook K3605ZC i5 12500H (RP629W),Asus,Laptop,Đen,18190000.0,18190000.0,RAM 16 GB,SSD 512 GB,0,4.9,1300
HP Pavilion X360 14 ek2024TU Core 5 120U (9Z2V6PA),HP,Laptop,Vàng,23690000.0,23690000.0,RAM 16 GB,SSD 512 GB,0,5,1000
Acer Aspire Lite 14 51M 36PN i3 1215U (NX.KTWSV.001),Acer,Laptop,Bạc,10390000.0,10390000.0,RAM 8 GB,SSD 512 GB,0,5,2900
Lenovo Ideapad Slim 3 15IRH8 i7 13620H (83EM003FVN),Lenovo,Laptop,Xám,19190000.0,19190000.0,RAM 16 GB,SSD 1 TB,0,4.9,2100
HP 240 G10 i5 1335U (9H2E4PT),HP,Laptop,Bạc,17290000.0,17290000.0,RAM 16 GB,SSD 512 GB,0,4.9,1500
MSI Gaming Katana 15 B13UDXK i7 13620H (2077VN),MSI,Laptop,Đen,24890000.0,24890000.0,RAM 16 GB,SSD 1 TB,0,4.9,775
Asus Vivobook X1404ZA i3 1215U (NK246W),Asus,Laptop,Bạc,10390000.0,10390000.0,RAM 8 GB,SSD 512 GB,0,4.9,6200
Asus Vivobook 15 X1504ZA i3 1215U (NJ102W),Asus,Laptop,Bạc,10690000.0,10690000.0,RAM 8 GB,SSD 512 GB,0,4.9,10300
Dell Inspiron 15 3520 i5 1235U (N3520-i5U085W11SLU),Dell,Laptop,Bạc,14990000.0,14990000.0,RAM 8 GB,SSD 512 GB,0,0,0
Lenovo ThinkBook 16 G6 i5 13420H (21KH00Q0VN),Lenovo,Laptop,Xám,18590000.0,18590000.0,RAM 16 GB,SSD 512 GB,0,5,111
