club_name,club_url
1.FC Kaiserslautern,https://www.transfermarkt.com/1-fc-kaiserslautern/startseite/verein/2/saison_id/2024
FC Schalke 04,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2024
SC Paderborn 07,https://www.transfermarkt.com/sc-paderborn-07/startseite/verein/127/saison_id/2024
Hannover 96,https://www.transfermarkt.com/hannover-96/startseite/verein/42/saison_id/2024
SV Darmstadt 98,https://www.transfermarkt.com/sv-darmstadt-98/startseite/verein/105/saison_id/2024
1.FC Magdeburg,https://www.transfermarkt.com/1-fc-magdeburg/startseite/verein/187/saison_id/2024
SV 07 Elversberg,https://www.transfermarkt.com/sv-07-elversberg/startseite/verein/64/saison_id/2024
Karlsruher SC,https://www.transfermarkt.com/karlsruher-sc/startseite/verein/48/saison_id/2024
SpVgg Greuther Fürth,https://www.transfermarkt.com/spvgg-greuther-furth/startseite/verein/65/saison_id/2024
Eintracht Braunschweig,https://www.transfermarkt.com/eintracht-braunschweig/startseite/verein/23/saison_id/2024
SSV Ulm 1846,https://www.transfermarkt.com/ssv-ulm-1846/startseite/verein/69/saison_id/2024
SSV Jahn Regensburg,https://www.transfermarkt.com/ssv-jahn-regensburg/startseite/verein/109/saison_id/2024
Preußen Münster,https://www.transfermarkt.com/preussen-munster/startseite/verein/91/saison_id/2024
Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2024
Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2024
AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2024
Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2024
SSC Napoli,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2024
AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2024
SS Lazio,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2024
Bologna FC 1909,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2024
ACF Fiorentina,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2024
Torino FC,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2024
Como 1907,https://www.transfermarkt.com/como-1907/startseite/verein/1047/saison_id/2024
